Anopheles B,Anopheles B orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ANBV,29/11/1940,ssRNA(-),enveloped,tbc,991,mosquito-borne-virus,Anopheles boliviensis,tbc,unk,unk,unk,unk,unk,unk,Colombia,tbc,yes,unk,unk,9,tbc,2
Antequera,unclassified orthobunyavirus,Orthobunyavirus,Peribunyaviridae,ANTV,04/08/1980,ssRNA(-),enveloped,tbc,unk,mosquito-borne-virus,Culex delpontei,tbc,unk,unk,unk,unk,unk,unk,Argentina,tbc,yes,unk,5,5,tbc,2
"Antigone ",Antigone virus,Phlebovirus,Phenuiviridae,ANTV,02/09/2012,ssRNA(-),enveloped,tbc,189,tick-borne-virus,unk,tbc,unk,unk,unk,unk,unk,unk,?,tbc,unk,unk,unk,unk,tbc,unk
Apeu,Caraparu orthobunyavirus,Orthobunyavirus,Peribunyaviridae,APEUV,14/10/1955,ssRNA(-),enveloped,tbc,12551,mosquito-borne-virus,Culex aikenii,tbc,febrile illness,unk,unk,unk,4,sporadic,Brazil,tbc,yes,unk,unk,6,tbc,2
Apoi,Apoi virus,Flavivirus,Flaviviridae,APOIV,10/09/1954,ssRNA(+),enveloped,tbc,10116,unk,unk,tbc,CNS,unk,unk,unk,1,sporadic,Japan,tbc,yes,unk,6,unk,tbc,2
Araçaí,unclassified orbivirus,Orbivirus,Reoviridae,-,/02/1984,dsRNA,non-enveloped,tbc,unk,sandfly-borne-virus,?,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,?,?,?,?,tbc,unk
Araguari,unclassified thogotovirus,Thogotovirus,Orthomyxoviridae,ARAV,09/11/1969,ssRNA(-),enveloped,tbc,11968,unk,unk,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,yes,unk,no,unk,tbc,3
Aransas Bay,unclassified thogotovirus,Thogotovirus,Orthomyxoviridae,ABV,25/05/1975,ssRNA(-),enveloped,tbc,10771,tick-borne-virus,Ornithodoros capensis,tbc,unk,unk,unk,unk,unk,unk,USA,tbc,yes,unk,13,5-7,tbc,2-1
Arataú,unclassified orbivirus,Orbivirus,Reoviridae,-,24/08/1984,dsRNA,non-enveloped,tbc,unk,sandfly-borne-virus,?,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,?,?,?,?,tbc,unk
Arawetê,unclassified orbivirus,Orbivirus,Reoviridae,-,/06/1987,dsRNA,non-enveloped,tbc,unk,sandfly-borne-virus,?,tbc,unk,unk,unk,unk,unk,unk,Brazil,tbc,?,?,?,?,tbc,unk
Arbia,Sandfly fever Naples phlebovirus,Phlebovirus,Phenuiviridae,ARBV,25/07/1980,ssRNA(-),enveloped,tbc,12084,sandfly-borne-virus,Phlebotomus perniciosus,tbc,unk,unk,unk,unk,unk,unk,Italy,tbc,yes,unk,3,5,tbc,3
"Arboledas ",unclassified phlebovirus,Phlebovirus,Phenuiviridae,ADSV,02/06/1984,ssRNA(-),enveloped,tbc,unk,sandfly-borne-virus,Lutzomyia spp.,tbc,febrile illness,unk,unk,unk,7,sporadic,Colombia,tbc,yes,unk,3,5-6,tbc,1-1
"Arbroath  ",Great Island virus,Orbivirus,Reoviridae,ABRV,31/05/1905,dsRNA,non-enveloped,tbc,unk,tick-borne-virus,Ixodes uriae,tbc,unk,unk,unk,unk,unk,unk,Scotland,tbc,?,?,?,?,tbc,unk
Aride,unk,unk,unk,ARIV,07/08/1973,unk,unk,tbc,unk,tick-borne-virus,Amblyomma loculosum,tbc,unk,unk,unk,unk,unk,unk,Seychelles,tbc,yes,unk,no,unk,tbc,2
